PORT_NAME;VID;Latitude;Longitude;geometry
Harbour Limit;PID341;45.6286706645;13.69132217;POINT (45.6286706645 13.69132217)
BURNTISLAND;PID342;56.1314585985;-2.8599627924626247;POINT (56.1314585985 -2.859962792462625)
Ports of Kiel;PID343;54.33732618112117;10.16440423438574;POINT (54.33732618112117 10.16440423438574)
;PID344;-20.121610793;118.59168073949876;POINT (-20.121610793 118.5916807394988)
TRINCOMALEE HARBOR;PID345;8.556931517086923;81.21447891774146;POINT (8.556931517086923 81.21447891774146)
BANDAR-E MAHSHAHR;PID346;30.45685237739235;49.17337992674012;POINT (30.45685237739235 49.17337992674012)
TEESPORT;PID347;54.63390272576362;-1.1055941158402398;POINT (54.63390272576362 -1.10559411584024)
Humber Port;PID348;53.6093665655;0.4198356638844027;POINT (53.6093665655 0.4198356638844027)
Port of Mackay;PID349;-21.113455309532583;149.24764055227706;POINT (-21.11345530953258 149.2476405522771)
;PID350;-20.1017405275;118.52499261225;POINT (-20.1017405275 118.52499261225)
Paldiski Lõunasadam;PID351;59.33333341497928;24.03708335710689;POINT (59.33333341497928 24.03708335710689)
MUUGA-PORT OF TALLIN;PID352;59.510000003;25.11254546552135;POINT (59.510000003 25.11254546552135)
;PID353;-20.121614397;118.5116592175652;POINT (-20.121614397 118.5116592175652)
Outer Roadsted of the Port of Ventspils;PID354;57.44287599809468;21.527026013235936;POINT (57.44287599809468 21.52702601323594)
JOHOR;PID355;1.427955776;104.08482446459018;POINT (1.427955776 104.0848244645902)
TANJUNG PELEPAS;PID356;1.3052066595;104.02746488291731;POINT (1.3052066595 104.0274648829173)
Vene-Balti;PID357;59.45632954593748;24.62389863012151;POINT (59.45632954593748 24.62389863012151)
Paldiski Põhjasadam;PID358;59.33333341497928;24.03708335710689;POINT (59.33333341497928 24.03708335710689)
Hibiki-Shinko Ku;PID359;33.97429591510445;130.75632023039026;POINT (33.97429591510445 130.7563202303903)
KANDA;PID360;33.792734923772514;131.02155434887572;POINT (33.79273492377251 131.0215543488757)
Moji Ku;PID361;33.929306636564434;130.93947815172132;POINT (33.92930663656443 130.9394781517213)
Tanoura Ku;PID362;33.965846076607704;130.9852135070669;POINT (33.9658460766077 130.9852135070669)
MUTUREZIMA KO;PID363;33.9453967474401;130.85770583200824;POINT (33.9453967474401 130.8577058320082)
TOBATA;PID364;33.94580631631767;130.84561628724725;POINT (33.94580631631767 130.8456162872473)
Port Vanino;PID365;49.092393605969846;140.33407272973307;POINT (49.09239360596985 140.3340727297331)
Vladivostok;PID366;43.130612046500005;131.87557373825;POINT (43.1306120465 131.87557373825)
Unknown;PID367;48.40496275573969;-89.16152441372145;POINT (48.40496275573969 -89.16152441372145)
Nanticoke Harbour;PID368;42.7753885416314;-80.06612578624113;POINT (42.7753885416314 -80.06612578624113)
SAINT JOHN;PID369;45.181805952000005;-66.02810800090928;POINT (45.181805952 -66.02810800090928)
Baie-Comeau;PID370;49.236910063773394;-68.10931526225028;POINT (49.23691006377339 -68.10931526225028)
BAYUQUAN;PID371;40.2888745015;121.98775640145824;POINT (40.2888745015 121.9877564014582)
Longkou Gang;PID372;37.6238884955;120.21765942290322;POINT (37.6238884955 120.2176594229032)
Rizhao Gang;PID373;35.104236979968846;119.57144443764838;POINT (35.10423697996885 119.5714444376484)
Ningbo-Zhoushan Gang(Ningbo);PID374;29.940946488;121.97987480807171;POINT (29.940946488 121.9798748080717)
Ningbo-Zhoushan Gang(Zhoushan);PID375;29.8979284655;122.07598567052963;POINT (29.8979284655 122.0759856705296)
Guangzhou Gang;PID376;23.07199150789529;113.47443732283976;POINT (23.07199150789529 113.4744373228398)
Humen Gang;PID377;22.876246995292604;113.56153551489116;POINT (22.8762469952926 113.5615355148912)
Shenzhen Gang;PID378;22.659005499000003;113.76586937550304;POINT (22.659005499 113.765869375503)
E8;PID379;-23.8832600315;151.5933329955;POINT (-23.8832600315 151.5933329955)
Shanghai Gang;PID380;31.2161865035;122.04640073442108;POINT (31.2161865035 122.0464007344211)
ARHUS;PID381;56.1511129885912;10.2698580132144;POINT (56.1511129885912 10.2698580132144)
BAHIA SAN VICENTE;PID382;-36.743490770459175;-73.16059437787149;POINT (-36.74349077045918 -73.16059437787149)
TALCAHUANO;PID383;-36.71177779790014;-73.09559690513441;POINT (-36.71177779790014 -73.09559690513441)
PUERTO SAN ANTONIO;PID384;-33.584803878329694;-71.63160966010764;POINT (-33.58480387832969 -71.63160966010764)
E4;PID385;-23.8665944195;151.57500003425;POINT (-23.8665944195 151.57500003425)
BAHIA QUINTERO (VENTANAS);PID386;-32.75100869592279;-71.50608815425838;POINT (-32.75100869592279 -71.50608815425838)
ANTOFAGASTA;PID387;-23.631164613179862;-70.41560011790378;POINT (-23.63116461317986 -70.41560011790378)
Unknown;PID388;31.84836921282113;34.64041961124167;POINT (31.84836921282113 34.64041961124167)
E3;PID389;-23.849913887;151.61166700475;POINT (-23.849913887 151.61166700475)
E7;PID390;-23.883261666;151.57499999225;POINT (-23.883261666 151.57499999225)
E10;PID391;-23.8999271525;151.57499999225;POINT (-23.8999271525 151.57499999225)
MURORAN KO;PID392;42.3490563640371;140.9305463396061;POINT (42.3490563640371 140.9305463396061)
TOMAKOMAI KO;PID393;42.601258526;141.65103211892267;POINT (42.601258526 141.6510321189227)
Arida Ku;PID394;34.12308789789677;135.1089703340217;POINT (34.12308789789677 135.1089703340217)
E12;PID395;-23.8999286615;151.61166700475002;POINT (-23.8999286615 151.61166700475)
Shimotsu Ku;PID396;34.14875952992588;135.12065561941122;POINT (34.14875952992588 135.1206556194112)
Unknown;PID397;34.47983552701771;133.74901395794217;POINT (34.47983552701771 133.7490139579422)
SAKAIDE KO;PID398;34.33644207660109;133.85375949465418;POINT (34.33644207660109 133.8537594946542)
Unknown;PID399;34.360671350732446;133.8819133340375;POINT (34.36067135073245 133.8819133340375)
Tokuyama-Kudamatsu Ko;PID400;34.02719448320568;131.71920401523795;POINT (34.02719448320568 131.7192040152379)
Unknown;PID401;33.98830060847104;131.7564070998261;POINT (33.98830060847104 131.7564070998261)
UBE KO;PID402;33.92270555254072;131.21980203123886;POINT (33.92270555254072 131.2198020312389)
E5;PID403;-23.866594252;151.59333299575002;POINT (-23.866594252 151.59333299575)
